"Story","Title","Result","Date","Stability","Duration (s)"
"Autentication","GET api endpoints for autentication","SUCCESS","2023-05-10T22:52:42.1504621+07:00[Asia/Bangkok]","0.0","2.22"
"Autentication","POST operational for login","SUCCESS","2023-05-10T22:52:44.3867798+07:00[Asia/Bangkok]","0.0","0.11"
"Autentication","register using the correct data","SUCCESS","2023-05-10T22:52:44.5028789+07:00[Asia/Bangkok]","0.0","0.09"
"Autentication","register using incorrect data","SUCCESS","2023-05-10T22:52:44.6019641+07:00[Asia/Bangkok]","0.0","0.08"
"Hello","GET api endpoints for index","SUCCESS","2023-05-10T22:52:44.6900397+07:00[Asia/Bangkok]","0.0","0.08"
"Order","GET api endpoints for all orders","SUCCESS","2023-05-10T22:52:44.7810205+07:00[Asia/Bangkok]","0.0","0.09"
"Order","POST endpoints for create new orders","SUCCESS","2023-05-10T22:52:44.8811662+07:00[Asia/Bangkok]","0.0","0.08"
"Order","GET api endpoints for orders by ID","SUCCESS","2023-05-10T22:52:44.9657389+07:00[Asia/Bangkok]","0.0","0.08"
"Product Categories","GET api endpoints for all categories","SUCCESS","2023-05-10T22:52:45.0573178+07:00[Asia/Bangkok]","0.0","0.13"
"Product Categories","GET api endpoints for categories by ID","SUCCESS","2023-05-10T22:52:45.1954353+07:00[Asia/Bangkok]","0.0","0.08"
"Product Categories","POST HTTP request for create categories","SUCCESS","2023-05-10T22:52:45.2825095+07:00[Asia/Bangkok]","0.0","0.08"
"Product Categories","DELETE api endpoints for a categories","SUCCESS","2023-05-10T22:52:45.3645807+07:00[Asia/Bangkok]","0.0","0.08"
"Product","GET As admin I have be able to get all product","SUCCESS","2023-05-10T22:52:45.4481518+07:00[Asia/Bangkok]","0.0","4.34"
"Product","GET api endpoints for products by ID","SUCCESS","2023-05-10T22:52:49.7894138+07:00[Asia/Bangkok]","0.0","4.23"
"Product","DELETE api endpoints","SUCCESS","2023-05-10T22:52:54.0258171+07:00[Asia/Bangkok]","0.0","0.08"
"Product","POST endpoints for create new products","SUCCESS","2023-05-10T22:52:54.1088885+07:00[Asia/Bangkok]","0.0","0.09"
"Product","GET api endpoints for products ratings","SUCCESS","2023-05-10T22:52:54.1989661+07:00[Asia/Bangkok]","0.0","0.08"
"Product","GET api endpoints for products comments","SUCCESS","2023-05-10T22:52:54.2800358+07:00[Asia/Bangkok]","0.0","0.08"
"Product","POST api endpoints for assign a product ratings","SUCCESS","2023-05-10T22:52:54.3616058+07:00[Asia/Bangkok]","0.0","0.1"
"Product","POST api endpoints for create comment for products","SUCCESS","2023-05-10T22:52:54.4596896+07:00[Asia/Bangkok]","0.0","0.08"
